CDS Code,[Lookup] District Master,County,District Name,District Type,Grade Levels,Student Enrollment (2024-25),Number of Schools (2024-25),County Superintendent (CCESSA) Region,Locale Classifications,Percent of Republican Votes (2020),Percent of Democratic Votes (2020),Overall Political Leaning (2020),Percent of Republican Votes (2024),Percent of Democratic Votes (2024),Overall Political Leaning (2024),Mean Income of Population in District Area,Median Income of Population in District Area,Student to Teacher Ratio,Average Chronic Absenteeism Rate,Expense per ADA (2022-23),Number of Title I Schools (2023-24),Average Pollution Burden Percentile,Percent English Learners (2024-25),Percent Unduplicated Students (2024-25),Percent of Students Receiving FRM (2024-25),Funding sources for sustainability efforts identified in LCAP,LCAP Funding Status,LCAP Direct Funding Total,LCAP Lumped Funding Total,Description of Funding,Environmental Vision or Goals Identified in LCAP,Description of vision or goals in LCAP (from [Lookup] District Master),Key Terms Identified in LCAP,Total GO Bonds and Parcel Taxes Attempted (2010 - 2029),Total GO Bonds and Parcel Taxes Passed (2010 - 2029),Most Recent Passed GO Bond Measure Year (2010-2029),Total Amount of GO Bond Measure Funding ($) (2010-2029),2024_election_bond_language,2023_election_bond_language,2022_election_bond_language,2021_election_bond_language,2020_election_bond_language,2019_election_bond_language,2018_election_bond_language,2017_election_bond_language,2016_election_bond_language,2015_election_bond_language,2014_election_bond_language,2013_election_bond_language,2012_election_bond_language,2011_election_bond_language,2010_election_bond_language,Environmental and Climate Literacy and Action Overall Indicator Status (20 points)
01611190000000,01611190000000,Alameda,Alameda Unified,Unified School District,TK-Adult,10771,19,4,Suburban,14.0,83.9,Strongly Democratic,15.8,80.3,Strongly Democratic,$164026.44,$128449.78,20,20.43,$16932.73,5,48.50%,8.45,38.92,35.46,0,No Funding,,,N/A,0,N/A,N/A,5,4,2022,$477500000.00,,,"June 7, 2022: To upgrade local classrooms, math/science labs, technology, college/career training facilities for high quality academic education; improve accessibility, earthquake safety, school security, water quality/ plumbing systems; renovate, acquire, construct, classrooms, sites, facilities/ equipment; shall Alameda Unified School District's measure authorizing $298,000,000 in bonds at legal rates, raising approximately $14.7 million annually by levying, on average, $45/$100,000 assessed value while bonds are outstanding, be adopted, with audits, independent oversight, no money for administrators, and all funds used locally?",,,,,,,,"November 4, 2014: To improve schools to provide high quality education by renovating neighborhood schools, improving earthquake safety and student security, upgrading science and computer labs, improving heating, cooling, plumbing, and electrical systems, replacing leaky roofs, windows, and doors, installing solar systems, and renovating, constructing, and acquiring classrooms, sites, facilities, and equipment, shall Alameda Unified School District issue $179,500,000 in bonds at legal rates, with annual audits and citizen oversight, no funds for administrator salaries and all funds benefiting neighborhood schools?",,,,,13.00
01611270000000,01611270000000,Alameda,Albany City Unified,Unified School District,K-12,3694,7,4,Suburban,5.3,92.9,Strongly Democratic,6.2,89.7,Strongly Democratic,$161052.72,$124981.94,21,28.57,$17700.49,1,52.49%,12.07,36.71,31.35,0,No Funding,,,N/A,0,N/A,N/A,5,5,2024,$253800000.00,"November 5, 2024: To improve and construct safe, modern classrooms, restrooms, and community and arts facilities; renovate cafeterias/dining areas, and outdoor spaces; replace outdated portables with new classrooms; update aging electrical, heating/cooling systems, and roofs; shall Albany Unified School District's measure be adopted authorizing $63,800,000 in bonds at legal rates, levy approximately $60 per $100,000 of assessed value, raising approximately $4,210,000 annually while bonds are outstanding, with independent oversight, audits and all funds staying local?",,,,,,,,"June 7, 2016: To rebuild Marin and Ocean View elementary schools with seismically safe school facilities that support modern learning standards in subjects such as science, accessibility, sustainability, and energy efficiency; and improve other school facilities; shall Albany Unified School District issue $70 Million of bonds at legal rates for the acquisition and improvement of land and facilities, with citizen oversight and all funds staying in Albany to benefit local schools? June 7, 2016: To relieve Albanay Middle School overcrowding, construct classrooms, science labs, and flexible learning spaces that meet seismic safety and accessibility codes, replace old portables with modern classrooms, and acquire technology and equipment at all schools to support science, engineering, math, and the humanities; shall albany Unified School District issue $25 Million of bonds at legal rates, with independent oversight, no money for administrators' salaries, and all funds benefitting Albany schools?",,,,,,,14.00
01611430000000,01611430000000,Alameda,Berkeley Unified,Unified School District,K-Adult,9162,18,4,Urban,4.5,93.3,Strongly Democratic,5.6,89.2,Strongly Democratic,$171825.08,$130802.92,18,19.11,$23403.42,10,36.43%,6.33,31.60,28.66,0,No Funding,,,N/A,1,"Enrichment: in Curriculum with Music & the Arts, Libraries, Gardens & Nutrition, Science & Health, Physical Education & Sports","gardens, nutrition - Pg. 6",2,2,2020,$248000000.00,,,,,"March 3, 2020: To improve school facilities, construct/ modernize classrooms and campuses, complete seismic upgrades, construct science labs/ career technical education facilities, upgrade furnishings, equipment, technology, renovate playgrounds, improve energy efficiency, and qualify for State grants, shall the Berkeley Unified School District adopt a measure authorizing $380,000,000 in bonds at legal rates, generating approximately $21,347,300 annually at an average rate of 4.45 cents per $100 while bonds are outstanding, with independent citizen and auditor oversight and all funds remaining local?",,,,,,,,,,"November 2, 2010: To improve school safety and facilities for learning and teaching, shall Berkeley Unified School District issue $210,000,000 in bonds at interest rates within the legal limit, to construct new classrooms for growth, complete seismic upgrades, construct science labs, upgrade computers and education technology, renovate playgrounds, replace restrooms, cafeterias, roofs, heating and fire safety systems, remove hazardous materials, improve energy efficiency, and qualify for State grants, with independent audits and citizen oversight? The State cannot take the funds.",16.50
01611500000000,01611500000000,Alameda,Castro Valley Unified,Unified School District,K-Adult,9570,16,4,Suburban,21.7,76.1,Mildly Democratic,25.5,70.9,Mildly Democratic,$191130.52,$157764.74,23,24.07,$14641.94,3,21.10%,12.04,42.64,36.75,0,No Funding,,,N/A,0,N/A,N/A,1,1,2016,$123000000.00,,,,,,,,,"June 7, 2016: To upgrade and repair aging classrooms at local schools; improve school safety and security; expand classroom space for 21st-century education; update science labs and learning technology; improve access for students with disabilities; and renovate, construct, and acquire classrooms, sites, equipment and facilities; shall Castro Valley Unified School District issue $123 million in bonds at legal rates, with independent citizen oversight, annual audits, and no money taken by the State or used for administrators� salaries?",,,,,,,9.00
01750930000000,01750930000000,Alameda,Dublin Unified,Unified School District,K-Adult,12808,17,4,Suburban,25.8,72.3,Mildly Democratic,29.9,65.5,Mildly Democratic,$238949.47,$183343.36,23,16.54,$14906.44,7,20.82%,5.69,18.88,9.63,0,No Funding,,,N/A,0,N/A,N/A,3,3,2022,$352100000.00,,,,,"March 3, 2020: To improve the quality of education with funding that cannot be taken by the State, shall Dublin Unified School District update/modernize older schools, complete the second comprehensive high school and construct a middle school to relieve overcrowding, by adopting a measure authorizing $290,000,000 in bonds at legal interest rates, averaging $18,300,000 raised annually, with rates averaging $50 per $100,000 of assessed valuation while bonds are outstanding, with annual audits, citizens oversight, and all funds benefiting Dublin schools?","May 7, 2019: To protect quality education with funding that cannot be taken by the State, shall Dublin Unified School District update/replace aging classrooms/science labs; provide 21st century computers/technology/classrooms; ensure classrooms meet safety codes; prevent student overcrowding; and improve energy/operational efficiency and utilize savings for teachers/instruction, by issuing $99 million in bonds at legal rates, with independent oversight, no money for administrators, and all funds staying in Dublin?",,,"June 7, 2016: To protect quality education with funding that cannot be taken by the State, construct schools to prevent overcrowding; update aging classrooms/science labs; continue providing 21st century technology; ensure classrooms meet fire/safety codes, and improve energy/operational efficiency, utilizing savings for instruction shall Dublin Unified School District issue $283 million in bonds at legal rates, with annual audits, citizens oversight, no money for administrators, and all funds staying in Dublin?",,,,"June 5, 2012: To protect quality education with funding that cannot be taken by the State, shall Dublin Unified School District update/replace aging classrooms/science labs; provide 21st century computers/technology/classrooms; ensure classrooms meet safety codes; prevent student overcrowding; and improve energy/operational efficiency and utilize savings for teachers/instruction, by issuing $99 million in bonds at legal rates, with independent oversight, no money for administrators, and all funds staying in Dublin?",,,10.50
01611680000000,01611680000000,Alameda,Emery Unified,Unified School District,K-12,590,2,4,Suburban,4.6,93.2,Strongly Democratic,7.5,86.0,Strongly Democratic,$157403.89,$121779.33,16,39.35,$28744.90,2,74.60%,14.24,80.85,75.25,0,No Funding,,,N/A,1,"The EUSD advanced placement offerings
include AP Psychology, AP 2-D Art, AP Statistics, AP Calculus AB, AP Human Geography, and AP Environmental Science. - Pg.6",AP Environmental Science,3,3,2020,$672000000.00,,,,,,,,,,,,,,,"November 2, 2010: Shall Emery Unified School District: maintain academic excellence/student performance, attract and retain quality teachers by: replacing/upgrading outdated schools no longer meeting seismic safety standards; provide updated classrooms, technology, science/computer labs: improve school safety; create energy efficient cost-saving facilities that provide job training, after-school, pre-school, and other community services by issuing $95 million dollars in bonds at legal rates with independent citizens' oversight, audits, and NO money for administrator salaries, benefits, or pensions?",6.00
01611760000000,01611760000000,Alameda,Fremont Unified,Unified School District,TK-Adult,33134,44,4,Suburban,24.9,73.3,Mildly Democratic,30.4,64.9,Mildly Democratic,$202362.00,$165840.97,21,16.82,$15284.25,4,28.67%,16.45,37.65,30.13,0,No Funding,,,N/A,0,N/A,N/A,2,2,2024,$1014000000.00,"November 5, 2024: To repair/upgrade local schools by updating classrooms/ science labs/ classroom technology/ equipment; replacing leaking roofs; replacing outdated, aging/ deteriorating portables with permanent classrooms; acquiring, constructing, repairing classrooms, facilities, sites/ equipment; and replacing inefficient HVAC, electrical/ plumbing systems with updated sustainable systems; shall Fremont Unified School District's measure authorizing $919,000,000 in bonds at legal rates, levying 4.9(cents sign)/ $100 assessed value ($63,000,000 annually) while bonds are outstanding, be adopted, requiring citizen oversight/ audits, and no money for administrators' salaries?",,,,,,,,,,"June 3, 2014: To upgrade/repair neighborhood schools with local funding the State cannot take away, shall Fremont Unified School District update technology/aging classrooms, math, science/computer labs for 21st Century learning, upgrade electrical wiring to current safety codes, fix/replace leaky roofs, aging plumbing/restrooms, remove asbestos, repair, construct, acquire equipment, classrooms, sites, facilities, by issuing $650 million of bonds at legal rates, with citizen oversight, no money for administrators, salaries, benefits/pensions, and all funds for Fremont schools?",,,,,14.00
01611920000000,01611920000000,Alameda,Hayward Unified,Unified School District,K-Adult,19954,34,4,Suburban,21.8,76.2,Mildly Democratic,27.5,69.0,Mildly Democratic,$129440.83,$107214.08,20,41.11,$20893.92,28,33.57%,30.03,80.70,75.61,1,Lumped Funding,,$6515841,"To meet the requirements of AB 285, there will be professional learning
communities for secondary teachers on the causes and effects of climate
change, and on the methods to mitigate and adapt to climate change, with
a focus on project based learning as a vehicle for supporting students to
develop climate change solutions.will recieve portion of $6,515,841.00 funds, Pg. 57",1,"The district will continue to partner with California State University East
Bay with the STEAM and Climate Change (bridge CELI grant) instruction
and activities and evaluate the grant STEAM programming including staff
and student experiences. Pg. 57",climate change,1,1,2014,$650000000.00,"March 5, 2024: Hayward School Improvement Measure. To upgrade aging local classrooms, labs, career training facilities, learning technology, art/ music classrooms, fields; improve earthquake fire safety/ emergency communications! school security; improve accessibility for students with disabilities; update plumbing/ electrical heating/ cooling systems, shall Hayward Unified School District's measure be adopted authorizing $550,000,000 in bonds at legal rates, levy approximately $60 per $100,000 of assessed value, raising approximately $35,200,000 annually while bonds are outstanding, with independent oversight/ all funds staying local?",,,,,,"November 6, 2018: To provide safe/modern schools; upgrade aging classrooms/school facilities; update classroom technology; provide art/music classrooms; improve accessibility for students with disabilities; upgrade fire safety/emergency communications/school security systems; install solar panels; repair leaky roofs; update plumbing/heating/ventilation systems, shall Hayward Unified School District issue $381,700,000 in bonds at legal rates, levy approximately $60 per $100,000 of assessed value annually (generating approximately $24,502,000), anticipated through 2049-50, with independent oversight and all funds staying local?",,,,"November 4, 2014: To protect quality education and student safety at local schools, with funding that the State cannot take away, shall Hayward Unified School District: modernize, renovate, replace aging classrooms, bathrooms, leaking roofs; replace outdated electrical, plumbing, heating/ventilation systems; update classroom computer technology/science labs; improve access for disabled students; and install modern fire safety/emergency communication systems; by issuing $229 million in bonds at legal rates, with independent oversight, no money for administrators, and all funds staying local?",,,,,7.50
01612000000000,01612000000000,Alameda,Livermore Valley Joint Unified,Unified School District,TK-Adult,12968,19,4,Urban,34.3,63.4,Mildly Democratic,36.2,60.5,Mildly Democratic,$218606.73,$159508.65,21,22.05,$15791.48,3,39.64%,9.25,23.90,19.28,0,No Funding,,,N/A,0,N/A,N/A,2,2,2018,$610700000.00,,,,,,,,,"June 7, 2016: To renovate aging Livermore Valley Joint Unified School District classrooms and school facilities with funding that the State can't take away; improve fire safety and security systems; repair deteriorating roofs, plumbing, restrooms and electrical systems; modernize outdated classrooms, science labs and instructional technology; upgrade, acquire, construct, equip classrooms/facilities and qualify for State matching funds, shall Livermore Valley Joint Unified School District issue $245 million in bonds, at legal rates, requiring independent audits and public reports, no money for administrators, and keeping all funds local? ",,,,,,,12.50
01612180000000,01612180000000,Alameda,Mountain House Elementary,Elementary School District,K-8,14,1,4,Rural,60.0,37.7,Mildly Republican,69.3,29.2,Mildly Republican,$163518.50,$127757.00,14,23.80,$30768.36,1,72.42%,21.43,35.71,0.00,1,Direct Funding,$600,,Community garden enhancement - allocating $600 dollars but $0 dollars were spent in 23-24. Pg. 25,0,N/A,garden,2,1,2016,$245000000.00,,,,,,,,,,,,,,,,1.50
